OVR,First Name,Last Name,Program,Position,Archetype,External ID
97,Dan,Dierdorf,Reel Deals,RT,Pass Protector,86112225
97,Rob,Gronkowski,Reel Deals,TE,Possession,86109784
97,Adam,Jones,Reel Deals,CB,Zone,86126749
97,Ray,Lewis,Reel Deals,MIKE,Field General,86111377
97,J.J.,Watt,Reel Deals,REDG,Power Rusher,86110693
97,Kerby,Joseph,Ranked,FS,Zone,11322227
97,Anthony,Richardson,Ranked,QB,Scrambler,11322689
97,Brian,Urlacher,Ranked,MIKE,Field General,11301895
97,Caleb,Banks,NFL Draft Night,DT,Power Rusher,85015018
97,KC,Concepcion,NFL Draft Night,WR,Slot,85015024
97,Omar,Cooper Jr.,NFL Draft Night,WR,Slot,85015030
97,Keldric,Faulk,NFL Draft Night,LEDG,Speed Rusher,85015031
97,Monroe,Freeling,NFL Draft Night,LT,Pass Protector,85015019
97,Max,Iheanachor,NFL Draft Night,RT,Power,85015021
97,Chris,Johnson,NFL Draft Night,CB,Zone,85015027
97,Malachi,Lawrence,NFL Draft Night,LEDG,Speed Rusher,85015023
97,Makai,Lemon,NFL Draft Night,WR,Slot,85015020
97,Caleb,Lomu,NFL Draft Night,LT,Pass Protector,85015028
97,Akheem,Mesidor,NFL Draft Night,REDG,Run Stopper,85015022
97,Blake,Miller,NFL Draft Night,RT,Agile,85015017
97,Jadarian,Price,NFL Draft Night,HB,Elusive Back,85015032
97,Keylan,Rutledge,NFL Draft Night,RG,Power,85015026
97,Dillon,Thieneman,NFL Draft Night,SS,Run Support,85015025
97,Peter,Woods,NFL Draft Night,DT,Nose Tackle,85015029
97,Darius,Slay Jr,Tribute,CB,Zone,12301426
97,Matt,Forte,Ranked,HB,Receiving Back,11328436
97,Quinyon,Mitchell,Ranked,CB,Man to Man,11314932
97,Donald,Parham,Ranked,TE,Vertical Threat,11320436
97,Martellus,Bennett,Redux,TE,Possession,119028442
97,Dré,Bly,Redux,CB,Man to Man,119001449
97,Ja&#x27;Marr,Chase,Redux,WR,Deep Threat,119021586
97,Jadeveon,Clowney,Redux,LEDG,Run Stopper,119210845
97,Daunte,Culpepper,Redux,QB,Field General,119001758
97,Terrell,Davis,Redux,HB,Elusive Back,119100366
97,Boomer,Esiason,Redux,QB,Strong Arm,119003027
97,Myles,Garrett,Redux,REDG,Power Rusher,119212520
97,Tony,Gonzalez,Redux,TE,Vertical Threat,119111395
97,Rob,Gronkowski,Redux,TE,Possession,119109784
97,O.J.,Howard,Redux,TE,Vertical Threat,119012536
97,Lamar,Jackson,Redux,QB,Scrambler,119013092
97,J. Manziel,,Redux,QB,Improviser,119012345
97,Luke,Kuechly,Redux,MIKE,Field General,119011309
97,Ray,Lewis,Redux,MIKE,Field General,119111377
97,Christian,McCaffrey,Redux,HB,Receiving Back,119012556
97,Gerald,McCoy,Redux,DT,Nose Tackle,119109859
97,D.K.,Metcalf,Redux,WR,Physical,119020353
97,J. Allen,Mullet Maniac,Redux,LEDG,Power Rusher,119011385
97,Ed,Oliver,Redux,DT,Power Rusher,119020548
97,Foyesade,Oluokun,Redux,WILL,Pass Coverage,119013468
97,A. Jones,Pacman,Redux,CB,Zone,119026749
97,Julius,Peppers,Redux,WILL,Run Stopper,119032513
97,Clinton,Portis,Redux,HB,Elusive Back,119014843
97,Sterling,Sharpe,Redux,WR,Deep Threat,119002925
97,Ryan,Shazier,Redux,MIKE,Pass Coverage,119111063
97,D. Robinson,Shoelace,Redux,WR,Playmaker,119000807
97,Cam,Skattebo,Redux,HB,Power Back,119114807
97,Harrison,Smith,Redux,FS,Zone,119011440
97,Jaxon,Smith-Njigba,Redux,WR,Slot,119022694
97,Matthew,Stafford,Redux,QB,Field General,119120051
97,Sonny,Styles,Redux,SAM,Pass Coverage,119032536
97,Patrick,Surtain,Redux,CB,Man to Man,119100800
97,Patrick,Surtain II,Redux,CB,Man to Man,119121764
97,Aqib,Talib,Redux,CB,Man to Man,119028387
97,Lawrence,Taylor,Redux,REDG,Power Rusher,119110891
97,Bobby,Wagner,Redux,MIKE,Run Stopper,119011567
97,T.J.,Watt,Redux,LEDG,Speed Rusher,119012562
97,Reggie,Wayne,Redux,WR,Playmaker,119011401
97,Nate,Wiggins,Redux,CB,Man to Man,119014924
97,Xavier,Worthy,Redux,WR,Playmaker,119114650
97,C. Williams,Ice Man,Collector's Series,QB,Scrambler,112914500
97,J. Manziel,,Collector's Series,QB,Improviser,112912345
97,D. Henry,King Henry,Collector's Series,HB,Power Back,112917557
97,J. Allen,Mullet Maniac,Collector's Series,LEDG,Power Rusher,112911385
97,A. Jones,Pacman,Collector's Series,CB,Zone,112926749
97,D. Robinson,Shoelace,Collector's Series,WR,Playmaker,112900807
97,B. Bosworth,The Boz,Collector's Series,MIKE,Run Stopper,112802963
97,D. Dawkins,The Shnowman,Collector's Series,LT,Pass Protector,112812622
97,Sam,Adams,Ultimate Legends,DT,Nose Tackle,114022571
97,Jerome,Bettis,Ultimate Legends,HB,Power Back,114001655
97,Will,Anderson Jr,TOTY Collection,LEDG,Speed Rusher,67422702
97,Zack,Baun,TOTY,WILL,Pass Coverage,67021142
97,Zack,Baun,TOTY Collection,WILL,Pass Coverage,67421142
97,Kevin,Byard III,TOTY Collection,FS,Zone,67417752
97,Michael,Dickson,TOTY Collection,P,Power,67413391
97,Michael,Dickson,TOTY,P,Power,67013391
97,Myles,Garrett,TOTY,REDG,Power Rusher,67012520
97,Myles,Garrett,TOTY Collection,REDG,Power Rusher,67412520
97,Breece,Hall,TOTY,HB,Elusive Back,67022326
97,Kyle,Hamilton,TOTY Collection,SS,Run Support,67422226
97,Creed,Humphrey,TOTY Collection,C,Power,67421551
97,Creed,Humphrey,TOTY,C,Power,67021551
97,Travis,Hunter,TOTY Collection,CB,Man to Man,67415101
97,Dexter,Lawrence II,TOTY Collection,DT,Power Rusher,67420552
97,Damien,Lewis,TOTY Collection,LG,Power,67421101
97,Cam,Little,TOTY,K,Power,67015006
97,Cam,Little,TOTY Collection,K,Power,67415006
97,Drake,Maye,TOTY Collection,QB,Field General,67414500
97,Trey,McBride,TOTY Collection,TE,Vertical Threat,67422093
97,Quinn,Meinerz,TOTY Collection,RG,Power,67421842
97,Puka,Nacua,TOTY Collection,WR,Slot,67422811
97,Joey,Porter,TOTY Collection,CB,Man to Man,67422706
97,Jalen,Ramsey,TOTY Collection,CB,Man to Man,67417538
97,Patrick,Ricard,TOTY,FB,Blocking,67012959
97,Patrick,Ricard,TOTY Collection,FB,Blocking,67412959
97,Bijan,Robinson,TOTY Collection,HB,Elusive Back,67422690
97,Penei,Sewell,TOTY Collection,RT,Power,67421540
97,Penei,Sewell,TOTY,RT,Power,67021540
97,Rashid,Shaheed,TOTY Collection,WR,Playmaker,67422666
97,Roquan,Smith,TOTY Collection,MIKE,Field General,67413082
97,Jaxon,Smith-Njigba,TOTY,WR,Slot,67022694
97,Jaxon,Smith-Njigba,TOTY Collection,WR,Slot,67422694
97,Robert,Spillane,TOTY Collection,WILL,Pass Coverage,67413875
97,Amon-Ra,St. Brown,TOTY Collection,WR,Slot,67421606
97,Amon-Ra,St. Brown,TOTY,WR,Slot,67021606
97,Henry,To&#x27;oTo&#x27;o,TOTY,SAM,Pass Coverage,67022998
97,Henry,To&#x27;oTo&#x27;o,TOTY Collection,SAM,Pass Coverage,67422998
97,Quinnen,Williams,TOTY,DT,Nose Tackle,67020547
97,Quinnen,Williams,TOTY Collection,DT,Nose Tackle,67420547
97,Trent,Williams,TOTY Collection,LT,Power,67409800
97,Trent,Williams,TOTY,LT,Power,67009800
97,Devon,Witherspoon,TOTY,CB,Slot,67023023
97,Devon,Witherspoon,TOTY Collection,CB,Slot,67423023
97,Rod,Woodson,TOTY,FS,Hybrid,67010889
97,Budda,Baker,Flashbacks,SS,Run Support,115012549
97,Rashod,Bateman,Flashbacks,WR,Deep Threat,115021584
97,Leo,Chenal,Free Agency,SAM,Run Stopper,68022458
97,Kamren,Curl,Free Agency,SS,Run Support,68017752
97,Dallas,Goedert,Free Agency,TE,Vertical Threat,68013128
97,Jonathan,Greenard,Flashbacks,LEDG,Speed Rusher,115021131
97,Trey,Hendrickson,Free Agency,REDG,Speed Rusher,68012692
97,Maurice,Jones-Drew,Flashbacks,HB,Elusive Back,115027231
97,Devin,Lloyd,Free Agency,MIKE,Run Stopper,68022183
97,Deebo,Samuel Sr,Free Agency,WR,Playmaker,68020348
97,Wyatt,Teller,Free Agency,RG,Power,68013208
97,Rasheed,Walker,Free Agency,LT,Pass Protector,68022448
97,Javonte,Williams,Free Agency,HB,Power Back,68022338
97,Sauce,Gardner,Crystal,CB,Man to Man,12022260
97,Grey,Zabel,Crystal,LG,Agile,12004601
97,C. Johnson,Ocho Cinco,Collector's Series,WR,Deep Threat,112814156
97,T. Hendricks,The Mad Stork,Collector's Series,SAM,Pass Coverage,112802924
97,Herb,Adderley,Ultimate Legends,CB,Slot,114031878
97,Jamaree,Caldwell,Team Builders,DT,Nose Tackle,13515211
97,Keon,Coleman,Team Builders,WR,Physical,13514646
97,Taysom,Hill,Team Builders,TE,Vertical Threat,13512922
97,Aidan,Hutchinson,Team Builders,LEDG,Speed Rusher,13522375
97,Deommodore,Lenoir,Team Builders,CB,Zone,13521454
97,Wyatt,Milum,Team Builders,RG,Power,13515129
97,Randy,Moss,Ultimate Legends,WR,Deep Threat,114001762
97,Tyler,Nubin,Team Builders,SS,Run Support,13714931
97,Trenton,Simpson,Team Builders,SAM,Run Stopper,13521234
97,Will,Anderson Jr,TOTY,LEDG,Speed Rusher,67022702
97,Kevin,Byard III,TOTY,FS,Zone,67017752
97,Kyle,Hamilton,TOTY,SS,Run Support,67022226
97,Travis,Hunter,TOTY,CB,Man to Man,67015101
97,Dexter,Lawrence II,TOTY,DT,Power Rusher,67020552
97,Damien,Lewis,TOTY,LG,Power,67021101
97,Bruce,Matthews,TOTY,RG,Agile,67002899
97,Drake,Maye,TOTY,QB,Field General,67014500
97,Trey,McBride,TOTY,TE,Vertical Threat,67022093
97,Quinn,Meinerz,TOTY,RG,Power,67021842
97,Puka,Nacua,TOTY,WR,Slot,67022811
97,Joey,Porter,TOTY,CB,Man to Man,67022706
97,Jalen,Ramsey,TOTY,CB,Man to Man,67017538
97,Bijan,Robinson,TOTY,HB,Elusive Back,67022690
97,Rashid,Shaheed,TOTY,WR,Playmaker,67022666
97,Roquan,Smith,TOTY,MIKE,Field General,67013082
97,Robert,Spillane,TOTY,WILL,Pass Coverage,67013875
97,Aaron,Brewer,Flashbacks,C,Agile,115021365
97,Tre&#x27;von,Moehrig,Flashbacks,FS,Run Support,115021490
97,DJ,Moore,Flashbacks,WR,Playmaker,115013184
97,Malcolm,Rodriguez,Flashbacks,SAM,Run Stopper,115022460
97,Ryan,Shazier,NFL Combine,MIKE,Pass Coverage,66011063
97,Sonny,Styles,NFL Combine,SAM,Pass Coverage,66009315
97,Xavier,Worthy,NFL Combine,WR,Playmaker,66014650
97,A. Jones,Pacman,Collector's Series,CB,Zone,112826749
97,Robert,Brazile,Ranked,WILL,Run Stopper,11205349
97,Nnamdi,Madubuike,Ranked,DT,Nose Tackle,11220982
97,Dont&#x27;e,Thornton Jr,Ranked,WR,Deep Threat,11215065
97,Tony,Gonzalez,Ultimate Legends,TE,Vertical Threat,114011395
97,Gerald,McCoy,Ultimate Legends,DT,Nose Tackle,114009859
97,D.K.,Metcalf,NFL Combine,WR,Physical,66020353
97,Harrison,Smith,NFL Combine,FS,Zone,66011440
97,Jadeveon,Clowney,NFL Combine,LEDG,Run Stopper,66010845
97,Daunte,Culpepper,NFL Combine,QB,Field General,66001758
97,Clinton,Portis,NFL Combine,HB,Elusive Back,66014843
97,Nate,Wiggins,NFL Combine,CB,Man to Man,66014924
97,Ja&#x27;Marr,Chase,Flashbacks,WR,Deep Threat,115021586
97,Patrick,Surtain II,Flashbacks,CB,Man to Man,115021764
97,Julius,Peppers,Genki Force,WILL,Run Stopper,65032513
97,D. Robinson,Shoelace,Collector's Series,WR,Playmaker,112800807
97,Terrell,Davis,NFL Honors,HB,Elusive Back,58000366
97,Sterling,Sharpe,Ultimate Legends,WR,Deep Threat,114002925
97,Aqib,Talib,Ultimate Legends,CB,Man to Man,114028387
97,Lawrence,Taylor,NFL Honors,REDG,Power Rusher,58010891
97,Rob,Gronkowski,Genki Force,TE,Possession,65009784
97,Ray,Lewis,Genki Force,MIKE,Field General,65011377
97,Dré,Bly,Flashbacks,CB,Man to Man,115001449
97,O.J.,Howard,Flashbacks,TE,Vertical Threat,115012536
97,Christian,McCaffrey,NFL Honors,HB,Receiving Back,58000006
97,Bobby,Wagner,NFL Honors,MIKE,Run Stopper,58000007
97,J. Manziel,,Collector's Series,QB,Improviser,112812345
97,J. Allen,Mullet Maniac,Collector's Series,LEDG,Power Rusher,112811385
97,Patrick,Surtain,Genki Force,CB,Man to Man,65000800
97,Reggie,Wayne,Genki Force,WR,Playmaker,65011401
97,Boomer,Esiason,Ultimate Legends,QB,Strong Arm,114003027
97,Luke,Kuechly,Ultimate Legends,MIKE,Field General,114011309
97,Myles,Garrett,NFL Honors,REDG,Power Rusher,58000005
97,Jaxon,Smith-Njigba,NFL Honors,WR,Slot,58000004
97,Matthew,Stafford,NFL Honors,QB,Field General,58000003
97,Lamar,Jackson,Genki Force,QB,Scrambler,65013092
97,Cam,Skattebo,Genki Force,HB,Power Back,65014807
97,T.J.,Watt,Genki Force,LEDG,Speed Rusher,65012562
97,Martellus,Bennett,Flashbacks,TE,Possession,115028442
97,Ed,Oliver,Flashbacks,DT,Power Rusher,115020548
97,Foyesade,Oluokun,Crystal,WILL,Pass Coverage,12013468
97,Ashton,Jeanty,Team Builders,HB,Elusive Back,13514793
97,Derek,Stingley Jr,Team Builders,CB,Zone,13522269
97,Kyler,Murray,Ranked,QB,Scrambler,11020430
97,Isaiah,Simmons,Ranked,SS,Run Support,11021000
97,LaDainian,Tomlinson,Ranked,HB,Elusive Back,11014130
96,Cole,Kmet,Collector's Series,LS,Power,112920952
96,Haloti,Ngata,Collector's Series,DT,Nose Tackle,112927217
96,Ronde,Barber,Ultimate Legends,WR,Slot,114100487
96,Damien,Woody,Ultimate Legends,RT,Power,114101309
96,Peyton,Manning,Reel Deals,MIKE,Field General,86000678
96,C.J.,,Flashbacks,SS,Hybrid,115120621
96,Mecole,Hardman,Flashbacks,WR,Playmaker,115120508
96,Ryan,Kelly,Flashbacks,C,Pass Protector,115117679
96,Tremon,Smith,Flashbacks,CB,Zone,115113467
96,Divine,Deablo,Collector's Series,WILL,Run Stopper,112921667
96,Hunter,Luepke,Collector's Series,FB,Utility,112922755
96,Keith,Jackson,Ultimate Legends,SS,Run Support,114103055
96,Dontari,Poe,Ultimate Legends,FB,Utility,114111296
96,Kerby,Joseph,Ranked,FS,Zone,11422227
96,Anthony,Richardson,Ranked,QB,Scrambler,11422689
96,Brian,Urlacher,Ranked,MIKE,Field General,11401895
96,Anthony,Bradford,NFL Draft,RG,Power,80022893
96,Evan,Brown,NFL Draft,C,Agile,80013670
96,Teddye,Buchanan,NFL Draft,WILL,Pass Coverage,80015256
96,Charlie,Heck,NFL Draft,LT,Agile,80021111
96,Jaden,Hicks,NFL Draft,SS,Zone,80014951
96,Marcus,Mariota,NFL Draft,QB,Scrambler,80019983
96,Adonai,Mitchell,NFL Draft,WR,Playmaker,80014649
96,Cody,Simon,NFL Draft,MIKE,Run Stopper,80015249
96,Benjamin,St-Juste,NFL Draft,CB,Zone,80021704
96,Kenny,Clark,Flashbacks,DT,Nose Tackle,115117661
96,Cole,Kmet,Flashbacks,TE,Vertical Threat,115120952
96,Trey,Smith,Flashbacks,RG,Power,115121648
96,Takeo,Spikes,Flashbacks,MIKE,Run Stopper,115100279
96,Mike,Jackson,Collector's Series,CB,Man to Man,112920607
96,Jeff,Saturday,Collector's Series,C,Pass Protector,112910283
96,Pat,Summerall,Collector's Series,K,Accurate,112905350
96,Ryan,Wright,Collector's Series,P,Power,112922538
96,Devin,Hester,Ultimate Legends,CB,Man to Man,114111613
96,Ronnie,Lott,Ultimate Legends,WR,Playmaker,114111469
96,Bud,Dupree,Flashbacks,REDG,Power Rusher,115102532
96,Colton,McKivitz,Flashbacks,RT,Agile,115121115
96,Gale,Sayers,Flashbacks,HB,Elusive Back,115110892
96,Devin,White,Flashbacks,WILL,Run Stopper,115120581
96,Luther,Burden III,NFL Draft,WR,Playmaker,80015095
96,Camryn,Bynum,NFL Draft,SS,Run Support,80021447
96,Jermaine,Eluemunor,NFL Draft,RT,Power,80013195
96,Dawson,Knox,NFL Draft,TE,Vertical Threat,80020523
96,Colton,McKivitz,NFL Draft,RT,Agile,80021115
96,Greg,Newsome II,NFL Draft,CB,Man to Man,80021457
96,Zach,Sieler,NFL Draft,DT,Nose Tackle,80013481
96,Tuli,Tuipulotu,NFL Draft,LEDG,Run Stopper,80022922
96,Logan,Wilson,NFL Draft,WILL,Pass Coverage,80021148
96,Bo,Jackson,Tribute,TE,Vertical Threat,12232831
96,Matt,Forte,Ranked,HB,Receiving Back,11428436
96,Quinyon,Mitchell,Ranked,CB,Man to Man,11414932
96,Donald,Parham,Ranked,TE,Vertical Threat,11420436
96,Jessie,Bates III,Redux,FS,Zone,119013202
96,Mel,Blount,Redux,CB,Man to Man,119102918
96,Coby,Bryant,Redux,SS,Zone,119022211
96,Terrell,Buckley,Redux,CB,Man to Man,119005353
96,Plaxico,Burress,Redux,WR,Physical,119101657
96,Marshall,Faulk,Redux,HB,Receiving Back,119011413
96,Dwight,Freeney,Redux,REDG,Speed Rusher,119014840
96,Christian,Gonzalez,Redux,CB,Man to Man,119123026
96,DeAngelo,Hall,Redux,CB,Zone,119017471
96,Hunter,Henry,Redux,TE,Possession,119017643
96,Devin,Hester,Redux,WR,Deep Threat,119011613
96,Cooper,Kupp,Redux,WR,Slot,119012558
96,CeeDee,Lamb,Redux,WR,Playmaker,119020932
96,Jamal,Lewis,Redux,HB,Power Back,119001454
96,Marcedes,Lewis,Redux,TE,Blocking,119027284
96,Clay,Matthews,Redux,REDG,Power Rusher,119020143
96,Tetairoa,McMillan,Redux,WR,Physical,119115097
96,Donovan,McNabb,Redux,QB,Strong Arm,119000833
96,Troy,Polamalu,Redux,SS,Hybrid,119116548
96,Jerry,Rice,Redux,WR,Playmaker,119010894
96,Carson,Schwesinger,Redux,MIKE,Field General,119015266
96,Mike,Singletary,Redux,MIKE,Run Stopper,119002917
96,Jeremy,Chinn,NFL Combine,SS,Run Support,66021151
96,Darren,McFadden,NFL Combine,HB,Power Back,66028339
96,Dontari,Poe,NFL Combine,QB,Scrambler,66032363
96,Peter,Skoronski,NFL Combine,LG,Agile,66022698
96,Jonnu,Smith,NFL Combine,TE,Vertical Threat,66012700
96,Vita,Vea,NFL Combine,DT,Nose Tackle,66013091
96,R. White,Manster,Collector's Series,DT,Speed Rusher,112802923
96,O. Daniels,,Collector's Series,TE,Possession,112827487
96,Robert,Brazile,Ranked,WILL,Run Stopper,11305349
96,Nnamdi,Madubuike,Ranked,DT,Nose Tackle,11320982
96,Dont&#x27;e,Thornton Jr,Ranked,WR,Deep Threat,11315065
96,Antonio,Cromartie,NFL Combine,CB,Man to Man,66027200
96,John,Hannah,Ultimate Legends,LG,Agile,114002999
96,Ken,Houston,Ultimate Legends,SS,Zone,114002935
96,Von,Miller,NFL Combine,REDG,Speed Rusher,66010737
96,Tristan,Wirfs,NFL Combine,RT,Pass Protector,66020971
96,Maxwell,Hairston,Gauntlet,CB,Man to Man,18015328
96,Maxwell,Hairston,Gauntlet,CB,Man to Man,18115328
96,Brian,Cushing,NFL Combine,SAM,Pass Coverage,66020076
96,Jordan,Davis,NFL Combine,DT,Nose Tackle,66022164
96,David,DeCastro,NFL Combine,RG,Power,66011287
96,Darrius,Heyward-Bey,NFL Combine,WR,Deep Threat,66020086
96,Derwin,James Jr,NFL Combine,SS,Run Support,66013080
96,Jason,Kelce,NFL Combine,C,Agile,66010690
96,Cam,Newton,NFL Combine,WR,Playmaker,66010829
96,Darien,Porter,NFL Combine,CB,Man to Man,66015291
96,Mike,Gesicki,Flashbacks,TE,Vertical Threat,115013192
96,Tyler,Guyton,Flashbacks,LT,Agile,115014701
96,Brian,Orakpo,Flashbacks,WILL,Run Stopper,115020117
96,Sheldon,Rankins,Flashbacks,DT,Nose Tackle,115017550
96,Julius,Peppers,Genki Force,WILL,Run Stopper,65132513
96,T. Brown,Mr. Raider,Collector's Series,WR,Slot,112801354
96,R. Lane,Night Train,Collector's Series,FS,Zone,112811204
96,Terrell,Davis,NFL Honors,HB,Elusive Back,58100366
96,Ed Too Tall,Jones,Ultimate Legends,LEDG,Power Rusher,114002908
96,Orlando,Pace,Ultimate Legends,LT,Pass Protector,114012195
96,Antrel,Rolle,Ultimate Legends,FS,Zone,114026751
96,Lawrence,Taylor,NFL Honors,REDG,Power Rusher,58110891
96,Thurman,Thomas,Ultimate Legends,HB,Elusive Back,114003051
96,James,Cook,Genki Force,HB,Power Back,65122054
96,James,Cook,Genki Force,HB,Receiving Back,65222054
96,James,Cook,Genki Force,HB,Elusive Back,65022054
96,Donovan,Ezeiruaku,Genki Force,REDG,Run Stopper,65215171
96,Donovan,Ezeiruaku,Genki Force,REDG,Speed Rusher,65015171
96,Donovan,Ezeiruaku,Genki Force,REDG,Power Rusher,65115171
96,Robert,Hunt,Genki Force,RG,Pass Protector,65121291
96,Robert,Hunt,Genki Force,RG,Agile,65221291
96,Robert,Hunt,Genki Force,RG,Power,65021291
96,Chris,Olave,Genki Force,WR,Slot,65122072
96,Chris,Olave,Genki Force,WR,Playmaker,65222072
96,Chris,Olave,Genki Force,WR,Deep Threat,65022072
96,Jason,Peters,Genki Force,LT,Agile,65027021
96,Jalen,Pitre,Genki Force,FS,Hybrid,65222230
96,Jalen,Pitre,Genki Force,FS,Run Support,65122230
96,Jalen,Pitre,Genki Force,FS,Zone,65022230
96,Cam,Taylor-Britt,Genki Force,CB,Zone,65022220
96,Cam,Taylor-Britt,Genki Force,CB,Slot,65222220
96,Cam,Taylor-Britt,Genki Force,CB,Man to Man,65122220
96,Melvin,Gordon III,Flashbacks,HB,Elusive Back,115002398
96,Brandon,Graham,Flashbacks,LEDG,Run Stopper,115009837
96,Bobby,Okereke,Flashbacks,MIKE,Field General,115020425
96,Michael,Pittman Jr,Flashbacks,WR,Physical,115021081
96,Christian,McCaffrey,NFL Honors,HB,Receiving Back,58100006
96,Bobby,Wagner,NFL Honors,MIKE,Run Stopper,58100007
96,J. Alt,,Collector's Series,RT,Power,112814694
96,Q. Mitchell,Speed Buggy,Collector's Series,CB,Slot,112814932
96,B. Urlacher,The Bear,Collector's Series,MIKE,Field General,112801895
96,J. Riggins,The Diesel,Collector's Series,FB,Utility,112805351
96,James,Harrison,Ultimate Legends,SAM,Run Stopper,114026470
96,Tom,Nalen,Ultimate Legends,C,Agile,114000373
96,Walter,Payton,Ultimate Legends,HB,Elusive Back,114027505
96,Jimmy,Smith,Ultimate Legends,WR,Slot,114003029
96,J.J.,Watt,Ultimate Legends,REDG,Power Rusher,114010693
96,Vince,Wilfork,Ultimate Legends,DT,Nose Tackle,114017417
96,Myles,Garrett,NFL Honors,REDG,Power Rusher,58100005
96,Quentin,Johnston,Gauntlet,WR,Playmaker,18022695
96,Quentin,Johnston,Gauntlet,WR,Playmaker,18122695
96,Jaxon,Smith-Njigba,NFL Honors,WR,Slot,58100004
96,Matthew,Stafford,NFL Honors,QB,Field General,58100003
96,DeForest,Buckner,Genki Force,DT,Power Rusher,65117542
96,DeForest,Buckner,Genki Force,DT,Nose Tackle,65017542
96,DeForest,Buckner,Genki Force,DT,Speed Rusher,65217542
96,Tyson,Campbell,Genki Force,CB,Zone,65021696
96,Brian,Dawkins,Genki Force,SS,Run Support,65012246
96,Brian,Dawkins,Genki Force,SS,Hybrid,65212246
96,Brian,Dawkins,Genki Force,SS,Zone,65112246
96,Cedric,Gray,Genki Force,MIKE,Run Stopper,65214909
96,Cedric,Gray,Genki Force,MIKE,Field General,65114909
96,Cedric,Gray,Genki Force,MIKE,Pass Coverage,65014909
96,Justin,Jefferson,Genki Force,WR,Physical,65220961
96,Justin,Jefferson,Genki Force,WR,Deep Threat,65020961
96,Justin,Jefferson,Genki Force,WR,Slot,65120961
96,Paris,Johnson Jr,Genki Force,LT,Pass Protector,65222699
96,Paris,Johnson Jr,Genki Force,LT,Power,65022699
96,Paris,Johnson Jr,Genki Force,LT,Agile,65122699
96,Sam,LaPorta,Genki Force,TE,Blocking,65222826
96,Sam,LaPorta,Genki Force,TE,Possession,65122826
96,Sam,LaPorta,Genki Force,TE,Vertical Threat,65022826
96,Marshon,Lattimore,Genki Force,CB,Zone,65112528
96,Marshon,Lattimore,Genki Force,CB,Slot,65212528
96,Marshon,Lattimore,Genki Force,CB,Man to Man,65012528
96,Trevor,Lawrence,Genki Force,QB,Improviser,65221553
96,Trevor,Lawrence,Genki Force,QB,Field General,65121553
96,Trevor,Lawrence,Genki Force,QB,Scrambler,65021553
96,Quincy,Williams,Genki Force,WILL,Run Stopper,65120728
96,Quincy,Williams,Genki Force,WILL,Pass Coverage,65020728
96,Quincy,Williams,Genki Force,WILL,Field General,65220728
96,Mark,Barron,Flashbacks,SS,Zone,115011439
96,A.J.,Brown,Crystal,WR,Physical,12020495
96,Robert,Griffin III,Flashbacks,QB,Scrambler,115011210
96,Donte,Jackson,Flashbacks,CB,Man to Man,115013169
96,Trevor,Penning,Flashbacks,LG,Power,115022103
96,Isaiah,Pola-Mao,Crystal,SS,Hybrid,12022241
96,CeeDee,Lamb,Collector's Series,WR,Playmaker,112820932
96,Troy,Polamalu,Super Bowl,SS,Hybrid,56309602
